Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.873608625,-4.113409792,-9.611118654,5.493797075,11.80997664
3.883640625,-4.76167188,-9.372338247,4.756925696,11.5387428
3.893672625,-5.382795287,-9.422070571,4.183978668,11.6299431
3.903704625,-5.88279596,-9.596073768,3.771664888,11.87086248
3.913736625,-6.156615806,-9.941264144,3.314097459,12.15384272
3.923768625,-6.244776031,-9.955214431,3.103166171,12.15455315
3.933801625,-6.171587017,-9.726228696,2.438261445,11.77425708
3.943833625,-6.142375497,-8.972786307,2.134100981,11.08124803
3.953865625,-6.045531573,-8.108553216,2.024310737,10.31479138
3.963897625,-5.994817502,-7.347419985,2.051231318,9.702059948
3.973929625,-5.836796499,-6.894305211,2.483872066,9.368524865
3.983961625,-5.696594301,-6.816735463,3.128708271,9.418486314
3.993993625,-5.614553187,-7.132670465,3.726986606,9.81267673
4.004025625,-5.707951348,-7.684856368,4.117901039,10.42088456
4.014058625,-5.867309609,-8.209067438,4.343952641,10.98562856
4.024090625,-6.091749719,-8.639051796,4.874044256,11.64040111
4.034122625,-6.470638769,-9.097130857,5.556076353,12.46984123
4.044154625,-6.900904378,-9.663782771,6.230538645,13.41010032
4.054186625,-7.149926183,-10.18493282,6.599954621,14.08593987
4.064218625,-7.111107103,-10.52752587,6.424601301,14.23629681
4.074250625,-6.833672508,-10.81675488,5.947745662,14.10946294
4.084283625,-6.392716434,-10.85816018,5.273800848,13.65940853
4.094315625,-5.792772228,-10.74406814,4.422011216,12.98250336
4.104347625,-5.280838557,-10.56765297,3.478339607,12.31508796
4.114379625,-5.595073773,-9.991404018,2.517651431,11.72482723
4.124411625,-6.522241616,-9.246923073,1.922942237,11.47793226
4.134443625,-7.64711493,-8.659200132,1.601301522,11.66294475
4.144475625,-8.769296771,-7.866670861,1.530524485,11.87971302
4.154507625,-9.495885821,-7.137958102,1.647331973,11.99316455
4.164540625,-9.369901128,-6.877938269,1.804515654,11.76254049
4.174572625,-8.409105363,-7.087305427,1.754024363,11.13640663
4.184604625,-7.143559735,-8.074900151,1.052635058,10.83247426
4.194636625,-6.103462862,-9.109182553,0.356825166,10.97072422
4.204668625,-5.282653533,-9.896504878,-0.57565575,11.23292556
4.214700625,-4.519800051,-11.07263371,-2.025834813,12.12995534
4.224732625,-4.22981967,-12.42383637,-2.749175443,13.4089914
4.234765625,-3.556694051,-13.87954515,-3.112240173,14.66212417
4.244797625,-2.264734211,-15.00731868,-3.595660481,15.59735264
4.254829625,-0.571724959,-15.58780569,-4.091095063,16.12586787
4.264861625,1.630540524,-16.43096951,-4.688149576,17.16432836
4.274893625,4.221401433,-17.28324446,-5.381322373,18.58734515
4.284925625,6.733229038,-17.94482885,-6.077800017,20.1070363
4.294957625,8.69177614,-18.21743306,-6.300205296,21.14508043
4.304989625,10.48484821,-17.86390923,-5.947136382,21.55039967
4.315022625,11.9054503,-16.45237149,-5.251268018,20.97608377
4.325054625,13.42593687,-14.12103282,-3.842702419,19.86015384
4.335086625,14.36166679,-11.04718195,-2.857690118,18.34295764
4.345118625,15.21856572,-7.41547222,-1.187450216,16.97068086
4.355150625,15.54993796,-3.721731128,0.618571389,16.00107758
4.365182625,15.46216891,0.590220287,1.870496221,15.58607659
4.375214625,15.32907108,4.287164483,2.926212761,16.18403289
4.385247625,15.08437095,5.894343041,4.356127714,16.77072973
4.395279625,15.01740279,6.184239222,5.751694368,17.22931193
