Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.08935925,-3.277883606,-7.830815735,15.96534988,18.08199638
2.09939125,-4.167333984,-7.76585083,15.5165831,17.84487217
2.10942425,-4.993166656,-7.743098145,15.09835281,17.68749671
2.11945725,-5.852978668,-7.775430908,14.3978096,17.37848113
2.12949025,-6.409820709,-7.645201721,13.7794455,17.01199662
2.13952325,-6.879244537,-7.549700317,13.19161789,16.68354767
2.14955625,-7.255112915,-7.445816345,12.83431091,16.5165487
2.15958925,-7.572003937,-7.288942566,12.72683441,16.50564272
2.16962125,-7.961344299,-7.08835968,13.05165894,16.85151765
2.17965425,-8.395441589,-6.806196442,13.48830093,17.28415493
2.18968725,-8.797056427,-6.42733429,13.93721741,17.69024751
2.19972025,-9.078471222,-6.124813385,14.34227509,18.04529948
2.20975325,-9.328002319,-5.940696259,14.62368988,18.33455222
2.21978625,-9.540709991,-5.811664581,14.73341171,18.4898354
2.22981925,-9.77961319,-5.648952942,14.63491653,18.48600242
2.23985225,-10.04785538,-5.330265656,14.17133057,18.17134391
2.24988425,-10.29798523,-4.824617157,13.39729019,17.57307073
2.25991725,-10.40935364,-4.17721344,12.58028915,16.85430006
2.26995025,-10.47701294,-3.514840851,11.6998201,16.09371606
2.27998325,-10.45336212,-2.758314056,10.88910599,15.34450082
2.29001625,-10.38570282,-2.10028244,10.15982254,14.67978213
2.30004925,-10.20712418,-1.612895966,9.567204895,14.08255044
2.31008225,-9.929002533,-1.219813385,9.027726746,13.47489837
2.32011425,-9.517957306,-0.890947266,8.554261322,12.82812087
2.33014725,-9.027127991,-0.490080872,8.15668808,12.17623831
2.34018025,-8.399183807,-0.035625916,7.86644165,11.5077566
2.35021325,-7.660769348,0.426912231,7.544610901,10.76061312
2.36024625,-6.964716797,0.82613205,7.39611969,10.19276021
2.37027925,-6.611152039,1.66034729,6.893614655,9.694638075
2.38031225,-6.241720276,3.601211243,5.686075745,9.179283839
2.39034425,-5.361400909,2.348466339,7.065606995,9.175113954
2.40037725,-5.210963745,0.031284943,8.635991364,10.08640019
2.41041025,-5.683830414,-0.491877136,10.23855881,11.72074903
2.42044325,-5.943839722,-0.514480133,10.97682358,12.4933813
2.43047625,-5.966742096,-0.713865509,10.96709381,12.50554924
2.44050925,-6.179749146,-0.86115921,10.91440338,12.57199649
2.45054225,-6.601871338,-1.037642212,10.7389682,12.64859061
2.46057525,-7.013964386,-1.235979767,10.50919601,12.69513857
2.47060725,-7.224277039,-1.225651245,10.3421434,12.67487001
2.48064025,-7.221283264,-0.526006165,9.451345825,11.90594609
2.49067325,-7.289391632,0.120649109,8.671317902,11.32879255
2.50070625,-7.691754913,0.163609772,8.660540314,11.5842488
2.51073925,-8.351732483,0.109272766,8.938063202,12.23324772
2.52077225,-8.981772308,-0.162861328,9.588011627,13.13882508
2.53080525,-9.452243958,-0.598455505,10.56128769,14.18604464
2.54083825,-9.758956146,-0.942140808,11.36960678,15.01308805
2.55087025,-10.18931122,-1.149160309,12.19813385,15.93540404
2.56090325,-10.73013657,-1.402583313,13.4462384,17.25990724
2.57093625,-11.18653748,-1.658101959,14.37430847,18.28957809
2.58096925,-11.44415176,-2.139800262,15.14505569,19.10288111
2.59100225,-11.76897629,-2.916235657,15.70908279,19.84410531
2.60103525,-11.89546326,-3.957171021,16.11698456,20.41858075
2.61106825,-11.85399948,-5.15542923,16.57488235,21.01957372
2.62110025,-11.67018173,-6.38512207,16.6989743,21.34991027
2.63113325,-11.3335318,-7.473957825,16.54973465,21.40566994
2.64116625,-10.91185867,-8.389903107,16.11174545,21.19074032
2.65119925,-10.56832306,-9.159602509,15.50026703,20.87692622
2.66123225,-10.4509671,-9.730215912,15.00449799,20.71315463
2.67126525,-10.51503387,-10.04037094,14.6048291,20.60766894
2.68129825,-10.53868469,-10.02704865,14.19617889,20.32577366
2.69133025,-10.52236862,-9.834249573,13.87105499,19.99597141
2.70136325,-10.46922913,-9.65671875,13.9758371,19.95447313
2.71139625,-10.52775742,-9.382489014,14.01760025,19.88360865
2.72142925,-10.45845154,-8.787626038,13.84201538,19.44744121
2.73146225,-10.17209702,-8.02331543,13.59143646,18.77690851
2.74149525,-9.734107819,-7.404651947,13.38381821,18.13031481
2.75152825,-9.266480255,-7.013665009,13.16377579,17.55973081
2.76156125,-8.749754791,-6.838678894,12.99253189,17.09185838
2.77159325,-8.170010376,-6.911128235,12.78745834,16.67428721
2.78162625,-7.63711853,-7.141199799,12.49676285,16.2939067
2.79165925,-7.261250153,-7.385342102,12.11326035,15.93738084
2.80169225,-6.863826599,-7.584877167,11.67676804,15.52383293
2.81172525,-6.502478027,-7.819589081,11.30179779,15.20390829
2.82175825,-6.195915527,-7.99517395,10.94658646,14.90435945
2.83179125,-5.926775208,-8.094118195,10.56353302,14.56810364
2.84182325,-5.669909363,-8.109985199,10.20907013,14.21776512
2.85185625,-5.439089355,-8.020321655,9.870025177,13.83208768
2.86188925,-5.256618805,-7.878716125,9.632768555,13.50912429
2.87192225,-5.140011292,-7.727081451,9.434281311,13.23378886
2.88195525,-5.046755219,-7.609725494,9.315578156,13.04444927
2.89198825,-4.904700623,-7.432194672,9.120384064,12.74656861
2.90202125,-4.766687622,-7.192093964,8.993747406,12.46334702
2.91205325,-4.648882599,-7.051087189,8.957223358,12.31104343
2.92208625,-4.550237732,-7.014263763,8.934620361,12.23650279
2.93211925,-4.469854889,-7.050338745,8.964707794,12.24960673
2.94215225,-4.354444885,-7.124284973,8.914262695,12.21395538
2.95218525,-4.170327759,-7.125033417,8.681347046,11.98013027
2.96221825,-3.974534912,-7.095844116,8.28542038,11.61017323
2.97225125,-3.777843933,-6.943011932,7.647447052,10.99822558
2.98228325,-3.608845367,-6.595883789,6.902895355,10.20683164
2.99231625,-3.495830383,-6.100414124,6.162235565,9.349279636
3.00234925,-3.386856995,-5.645061035,5.481600952,8.566531585
3.01238225,-3.294798431,-5.15423172,4.836891632,7.798546146
3.02241525,-3.136727142,-4.54694458,4.318220215,7.011475451
3.03244825,-2.943479004,-3.970493317,3.813469849,6.242710798
3.04248125,-2.820135498,-3.503464508,3.406017151,5.641664703
3.05251425,-2.518961792,-3.266357574,3.152444458,5.19154759
3.06254625,-2.217039642,-3.193758545,3.053200836,4.943419238
3.07257925,-2.102527771,-3.184627533,3.139122162,4.941311921
3.08261225,-2.103276215,-3.410208435,3.691772919,5.448162965
3.09264525,-2.180066528,-4.156406708,4.924010468,6.802520553
3.10267825,-2.07812851,-5.341192932,5.864355011,8.199854861
3.11271125,-1.835932159,-6.185587006,5.823789368,8.691872991
3.12274425,-1.472038879,-6.069578247,5.275479584,8.175412124
3.13277625,-0.940643921,-5.428910522,4.283193054,6.978798119
3.14280925,-0.797391815,-4.808750153,3.120261383,5.787567955
3.15284225,-0.743503876,-4.980892181,3.303031311,6.022632379
3.16287525,-0.782572632,-5.882617035,3.278931427,6.780043835
3.17290825,-1.234632568,-7.048991547,3.899690552,8.149858023
3.18294125,-1.871109009,-7.960595856,5.451513519,9.828078904
3.19297425,-2.514620819,-7.917635193,6.512507172,10.55580478
3.20300625,-2.794838104,-7.439080353,8.065677338,11.32281712
3.21303925,-2.623444519,-6.547384644,9.632918243,11.93917169
3.22307225,-2.100731506,-5.331163788,11.47079636,12.82238469
3.23310525,-1.403930511,-4.230502625,13.35043762,14.07488394
3.24313825,-0.954415283,-3.387605438,15.29384628,15.69358191
3.25317125,-0.943338318,-3.020119629,16.66694092,16.96460814
3.26320425,-1.335971832,-3.269650726,17.23590775,17.59408856
3.27323625,-2.117496643,-4.029470673,16.96676743,17.56677611
3.28326925,-3.040177917,-5.057832184,15.84904175,16.91202154
3.29330225,-3.805835724,-5.884862366,14.07747574,15.72549884
3.30333525,-4.304149475,-6.232439575,12.51233047,14.62625788
3.31336825,-4.653822327,-6.185587006,11.34401001,13.73339404
3.32340125,-5.032983856,-6.0622435,10.65304688,13.2502502
3.33343425,-5.495821381,-6.173312531,10.88730972,13.66921187
3.34346625,-6.067183228,-6.425837402,11.79681839,14.73998042
3.35349925,-6.552773438,-6.492897949,12.73416916,15.72436414
3.36353225,-7.067403259,-6.206543427,13.66897522,16.59247582
3.37356525,-7.507937164,-5.736221466,14.43972244,17.25627252
3.38359825,-7.951165466,-5.378016357,14.72278381,17.57567795
3.39363125,-8.120613098,-5.031486969,14.9220195,17.71798194
3.40366425,-8.224048004,-4.792434082,14.99282227,17.75914158
3.41369625,-8.377179565,-4.734654236,15.16795807,17.96276817
3.42372925,-8.572972412,-4.757855988,15.21915161,18.10402235
3.43376225,-8.879684601,-4.726870422,15.16421585,18.1974049
3.44379525,-9.349108429,-4.575834503,15.19654861,18.41953256
3.45382825,-9.782457275,-4.340523834,15.17723877,18.57108489
