Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.786741958,0.099930523,-0.021771523,0.138521124,0.172186557
3.796773958,0.08906245,-0.034012376,0.139827976,0.169236003
3.806805958,0.093716395,-0.060173112,0.112445465,0.158264174
3.816838958,0.129876883,-0.108100692,0.066955882,0.181760431
3.826870958,0.178166269,-0.132347926,0.055925694,0.228881795
3.836903958,0.197144723,-0.15810111,0.098618554,0.271270385
3.846935958,0.17374782,-0.189249812,0.09710588,0.274651322
3.856967958,0.119016566,-0.202777931,0.05023226,0.240431096
3.867000958,0.097140525,-0.170297817,-0.026551037,0.197844852
3.877032958,0.017737529,-0.107801022,-0.059539858,0.124421361
3.887064958,-0.094278605,-0.038986018,-0.03262337,0.107110453
3.897097958,-0.151474753,-0.039300306,-0.030591463,0.159452038
3.907129958,-0.204502421,-0.027726327,-0.107372421,0.232634533
3.917162958,-0.249695404,0.023156436,-0.196855871,0.318804406
3.927194958,-0.324063801,0.10307501,-0.2617471,0.429130923
3.937226958,-0.431240048,0.161144586,-0.293371766,0.545896098
3.947259958,-0.509655595,0.223129165,-0.309744555,0.636770869
3.957291958,-0.549097112,0.254675478,-0.349712028,0.699046307
3.967323958,-0.534729772,0.271305544,-0.371092372,0.705161099
3.977356958,-0.523891081,0.27169263,-0.412008264,0.719742703
3.987388958,-0.483761786,0.256494839,-0.47966815,0.727939971
3.997421958,-0.466308285,0.239730872,-0.527035275,0.743424837
4.007453958,-0.476166253,0.244020681,-0.471933453,0.713443465
4.017485958,-0.452836447,0.201454706,-0.433266985,0.658304737
4.027518958,-0.3947122,0.137691111,-0.413793418,0.588201969
4.037550958,-0.316459497,0.095150571,-0.395388722,0.515298444
4.047582958,-0.231176688,0.026252244,-0.373897866,0.440376493
4.057615958,-0.22657449,0.006022632,-0.348915052,0.416069688
4.067647958,-0.263954863,0.040967639,-0.227426868,0.350818325
4.077679958,-0.341774579,0.074321327,-0.068718817,0.356448872
4.087712958,-0.464689045,0.125684439,0.03479678,0.482642003
4.097744958,-0.541831508,0.175144866,0.082579057,0.575392394
4.107777958,-0.530422274,0.170655374,0.038837791,0.558551179
4.117809958,-0.487526662,0.136237786,-0.088478313,0.513878772
4.127841958,-0.358216474,0.080496571,-0.258883719,0.449243275
4.137874958,-0.303779518,0.105801859,-0.422499338,0.531019509
4.147906958,-0.419123886,0.256406838,-0.48153809,0.687959469
4.157938958,-0.644756829,0.497330834,-0.476739864,0.943573116
4.167971958,-0.858754397,0.689079747,-0.468353788,1.196513803
4.178003958,-1.080781215,0.848919818,-0.494525925,1.460585082
4.188036958,-1.176898769,0.925876778,-0.46369648,1.567594637
4.198068958,-1.196096347,0.914252513,-0.386433127,1.554295561
4.208100958,-1.204944939,0.818455825,-0.294525422,1.486104797
4.218133958,-1.145409612,0.769797635,-0.231181365,1.399284247
4.228165958,-0.96169112,0.666886055,-0.35291981,1.222349873
4.238197958,-0.804934285,0.495216481,-0.458972515,1.050625688
4.248230958,-0.655207557,0.383528815,-0.437026745,0.876004378
4.258262958,-0.526153076,0.326913734,-0.280727747,0.680086551
4.268295958,-0.492969104,0.236543262,-0.162651413,0.570461861
4.278327958,-0.525537072,0.049820616,-0.117280528,0.540764302
4.288359958,-0.539983057,-0.141461688,-0.099535398,0.567010058
4.298392958,-0.451417181,-0.169377465,-0.159385743,0.507809032
4.308424958,-0.306619364,-0.154479345,-0.361934463,0.498874591
4.318456958,-0.245694155,-0.147098989,-0.575284744,0.642616734
4.328489958,-0.295611761,-0.06295814,-0.581362925,0.655234989
4.338521958,-0.32082766,0.028275965,-0.424516627,0.532864227
4.348554958,-0.312550634,-0.008891276,-0.226511779,0.386101721
4.358586958,-0.269148433,-0.169728883,-0.060856066,0.323963321
