sitution,time
rest,0:3:8:10
rest,0:3:8:20
rest,0:3:8:30
rest,0:3:8:40
rest,0:3:8:50
rest,0:3:9:0
rest,0:3:9:10
rest,0:3:9:20
rest,0:3:9:30
rest,0:3:9:40
rest,0:3:9:50
rest,0:3:10:0
rest,0:3:10:10
rest,0:3:10:20
rest,0:3:10:30
rest,0:3:10:40
rest,0:3:10:50
rest,0:3:11:0
rest,0:3:11:10
rest,0:3:11:20
rest,0:3:11:30
rest,0:3:11:40
rest,0:3:11:50
rest,0:3:12:0
rest,0:3:12:10
rest,0:3:12:20
rest,0:3:12:30
rest,0:3:12:40
rest,0:3:12:50
rest,0:3:13:0
rest,0:3:13:10
rest,0:3:13:20
rest,0:3:13:30
rest,0:3:13:40
rest,0:3:13:50
rest,0:3:14:0
rest,0:3:14:10
rest,0:3:14:20
rest,0:3:14:30
rest,0:3:14:40
rest,0:3:14:50
rest,0:3:15:0
rest,0:3:15:10
rest,0:3:15:20
rest,0:3:15:30
rest,0:3:15:40
rest,0:3:15:50
rest,0:3:16:0
rest,0:3:16:10
rest,0:3:16:20
rest,0:3:16:30
rest,0:3:16:40
rest,0:3:16:50
rest,0:3:17:0
rest,0:3:17:10
rest,0:3:17:20
rest,0:3:17:30
rest,0:3:17:40
rest,0:3:17:50
rest,0:3:18:0
rest,0:3:18:10
rest,0:3:18:20
rest,0:3:18:30
rest,0:3:18:40
rest,0:3:18:50
rest,0:3:19:0
rest,0:3:19:10
rest,0:3:19:20
rest,0:3:19:30
rest,0:3:19:40
rest,0:3:19:50
rest,0:3:20:0
rest,0:3:20:10
rest,0:3:20:20
rest,0:3:20:30
rest,0:3:20:40
rest,0:3:20:50
rest,0:3:21:0
rest,0:3:21:10
rest,0:3:21:20
rest,0:3:21:30
rest,0:3:21:40
rest,0:3:21:50
rest,0:3:22:0
rest,0:3:22:10
rest,0:3:22:20
rest,0:3:22:30
rest,0:3:22:40
rest,0:3:22:50
rest,0:3:23:0
rest,0:3:23:10
rest,0:3:23:20
rest,0:3:23:30
rest,0:3:23:40
rest,0:3:23:50
rest,0:3:24:0
rest,0:3:24:10
rest,0:3:24:20
rest,0:3:24:30
rest,0:3:24:40
rest,0:3:24:50
rest,0:3:25:0
rest,0:3:25:10
rest,0:3:25:20
rest,0:3:25:30
rest,0:3:25:40
rest,0:3:25:50
rest,0:3:26:0
rest,0:3:26:10
rest,0:3:26:20
rest,0:3:26:30
rest,0:3:26:40
rest,0:3:26:50
rest,0:3:27:0
rest,0:3:27:10
rest,0:3:27:20
rest,0:3:27:30
rest,0:3:27:40
rest,0:3:27:50
rest,0:3:28:0
rest,0:3:28:10
rest,0:3:28:20
rest,0:3:28:30
rest,0:3:28:40
rest,0:3:28:50
rest,0:3:29:0
rest,0:3:29:10
rest,0:3:29:20
rest,0:3:29:30
rest,0:3:29:40
rest,0:3:29:50
rest,0:3:30:0
rest,0:3:30:10
rest,0:3:30:20
rest,0:3:30:30
rest,0:3:30:40
rest,0:3:30:50
rest,0:3:31:0
rest,0:3:31:10
rest,0:3:31:20
rest,0:3:31:30
